Experiment,IoU,Precision,Recall,F1,MAE
baseline,0.7761521935462952,0.8519321084022522,0.8927686810493469,0.8500499129295349,0.06440850347280502
exp1_strong_aug,0.766116201877594,0.8504030108451843,0.8797476291656494,0.8426019549369812,0.06512024253606796
exp2_deeper_lower_lr,0.7742109298706055,0.8530206680297852,0.8846426606178284,0.8482290506362915,0.06810547411441803
